name,lon,lat
Adams17,110.09,-67.02
Adams19,109.65,-67.09
Amery22,66.28,-72.7
ANZAC19,109.42,-67.08
Beardmore107,168.32,-84.7
Beardmore18,171.67,-83.91
Beardmore66,171.33,-84.45
Beaver27,51.64,-67.13
Borchgrevink188,18.57,-72.6
Borchgrevink198,21.48,-72.57
Byrd10,157.64,-80.51
Byrd97,153.13,-80.62
Byrd98,154.43,-81.13
CookEast134,153.91,-70.17
CookEast156,154.4,-70.48
CookWest186,149.29,-70.2
CookWest58,151.08,-69.19
CookWest67,150.2,-69.21
David180,155.52,-74.43
David80,157.93,-75.17
Evans158,-70.58,-74.8
Fisher168,61.43,-73.24
Francais36,138.15,-66.96
Francais46,138.11,-67.04
Frost28,129.67,-67.29
Institute134,-78.64,-82.02
Institute14,-75.52,-81.08
Institute142,-75.27,-82.19
Institute171,-76.88,-82.44
Institute176,-76.86,-82.48
Jutulstraumen69,-1.74,-72.51
Jutulstraumen71,-1.47,-72.54
Jutulstraumen74,-0.9,-72.67
KingBaudouinEast18,26.48,-71.21
KingBaudouinEast3,28.94,-70.64
KingBaudouinWest51,29.9,-70.98
Kronshtadskiy95,74.18,-71.58
Kyoto96,-125.37,-75.65
Lambert118,67.17,-74.4
Lambert119,69.38,-74.33
Lambert152,70.07,-74.45
Lambert45,67.67,-73.77
Lambert84,68.79,-74.07
Lambert99,67.25,-74.22
Lazarev35,14.0,-70.68
MacAyeal299,-131.59,-77.57
Matusevich53,157.48,-69.86
Matusevich57,157.45,-69.89
Mellor112,66.16,-74.33
Mellor183,63.33,-74.61
Mill161,171.03,-85.58
Mill165,170.47,-85.61
MoscowUniversity19,119.01,-67.56
MoscowUniversity194,117.01,-69.08
MoscowUniversity37,119.02,-67.74
MoscowUniversity44,118.07,-67.67
MoscowUniversity60,119.47,-67.91
MoscowUniversity62,117.99,-67.79
Mulock60,158.49,-78.69
Ninnis160,146.19,-69.86
NinnisEast10,148.2,-68.58
NinnisEast63,148.32,-69.06
Recovery50,-33.34,-81.09
Recovery68,-30.5,-81.03
Rutford192,-89.14,-76.99
Scott12,-152.72,-85.56
Scott19,-152.92,-85.64
Stockholm72,-120.03,-75.36
Stockholm77,-120.02,-75.39
SupportForce153,-47.65,-84.02
SupportForce3,-46.41,-82.6
Totten191,112.49,-69.15
Totten35,113.79,-67.82
Totten36,112.89,-67.6
Totten40,113.3,-67.77
Totten52,112.62,-67.58
Totten7,113.89,-67.58
Totten82,112.21,-67.91
Vanderford12,110.7,-66.82
Vanderford4,110.77,-66.72
Vanderford5,110.73,-66.76
Vigrid4,7.92,-70.56
Whillans180,-140.06,-83.53
Academy45,-59.07,-84.22
Academy91,-55.7,-84.34
